Tool	2017	2018	2019	2020	2021	2022	2023	mean	stdev
Maverick	0.7745	0.7955	0.7619	0.71	0.7085	0.7421	0.7299	0.746057143	0.03289366
Maverick_noZygosity	0.6874	0.7164	0.6942	0.6665	0.6411	0.6911	0.6661	0.6804	0.024468074
BayesDel_addAF_score	0.6044	0.5856	0.5088	0.56	0.5598	0.6112	0.59	0.574257143	0.034992326
BayesDel_noAF_score	0.4738	0.5278	0.4055	0.4596	0.4307	0.4852	0.45	0.4618	0.039430403
MetaRNN_score	0.3579	0.2899	0.3747	0.3075	0.3485	0.3072	0.3402	0.332271429	0.031146895
EVE	0.2056	0.3393	0.4309	0.2032	0.3187	0.3444	0.4326	0.324957143	0.093545619
AlphaMissense	0.3175	0.2943	0.2848	0.3233	0.3001	0.2952	0.298	0.301885714	0.013631022
VEST4_score	0.3531	0.2428	0.2973	0.2619	0.2823	0.2702	0.2745	0.283157143	0.035157164
ESM1b	0.2761	0.2464	0.2837	0.3064	0.2789	0.2711	0.2766	0.277028571	0.01772472
M-CAP_score	0.3209	0.2176	0.2661	0.224	0.2917	0.259	0.295	0.267757143	0.037968094
MVP_score	0.2825	0.2132	0.3213	0.2456	0.2717	0.2483	0.2807	0.266185714	0.034389845
CADD_raw	0.25	0.2891	0.2196	0.2627	0.2342	0.2865	0.2535	0.256514286	0.025532165
REVEL_score	0.2774	0.1842	0.2765	0.2199	0.2592	0.2371	0.2669	0.245885714	0.034416151
ClinPred_score	0.2692	0.1662	0.2438	0.2199	0.26	0.2389	0.259	0.236714286	0.035128736
PrimateAI3D	0.2073	0.2074	0.1932	0.2136	0.2092	0.1974	0.2046	0.204671429	0.007059914
DEOGEN2_score	0.217	0.144	0.2313	0.1801	0.2107	0.1901	0.2256	0.199828571	0.030736391
MutPred_score	0.2207	0.184	0.2252	0.1693	0.1952	0.1683	0.1818	0.192071429	0.023025907
MetaLR_score	0.221	0.1418	0.2094	0.1628	0.1961	0.188	0.2056	0.189242857	0.027931455
MetaSVM_score	0.2018	0.1449	0.2052	0.1618	0.1864	0.1814	0.2068	0.184042857	0.02352402
Eigen-raw_coding	0.2282	0.1352	0.1573	0.1716	0.1893	0.2036	0.1968	0.183142857	0.031017944
gMVP_score	0.1847	0.0756	0.1416	0.1036	0.1742	0.1599	0.1643	0.143414286	0.039890493
Eigen-PC-raw_coding	0.183	0.0908	0.1172	0.125	0.1454	0.1552	0.1499	0.138071429	0.02985145
VARITY_R_score	0.0986	0.0783	0.145	0.1026	0.1005	0.0935	0.1076	0.103728571	0.020443232
VARITY_R_LOO_score	0.096	0.0795	0.1422	0.1002	0.0993	0.0925	0.1057	0.1022	0.019461415
FATHMM_score	0.107	0.0602	0.0981	0.0798	0.1	0.0826	0.0864	0.087728571	0.015696572
MAPPIN	0.0848	0.0893	0.0875	0.072	0.0712	0.0714	0.1012	0.082485714	0.011455483
LIST-S2_score	0.0858	0.0597	0.0962	0.0641	0.0851	0.0795	0.0851	0.079357143	0.012976627
VARITY_ER_score	0.0789	0.0533	0.0921	0.0701	0.0798	0.0731	0.0839	0.075885714	0.012267087
fathmm-XF_coding_score	0.0998	0.0464	0.0921	0.0628	0.0794	0.0693	0.0795	0.075614286	0.017998651
VARITY_ER_LOO_score	0.0773	0.0496	0.0879	0.0693	0.079	0.0721	0.0836	0.074114286	0.012531484
MAPPIN_noZygosity	0.0722	0.0436	0.0292	0.0253	0.0642	0.0634	0.0752	0.0533	0.020479827
MutationAssessor_score	0.0453	0.0371	0.0612	0.0491	0.051	0.0431	0.0451	0.047414286	0.007534018
MPC_score	0.0739	0.0039	0.0049	0.0044	0.0669	0.05	0.0492	0.036171429	0.030976965
phyloP100way_vertebrate	0.0471	0.0182	0.03	0.0198	0.0393	0.0383	0.0441	0.033828571	0.011454797
phyloP470way_mammalian	0.0483	0.0214	0.018	0.0173	0.0316	0.0333	0.0362	0.029442857	0.011283152
PrimateAI_score	0.0389	0.0032	0.004	0.0051	0.0348	0.0302	0.032	0.021171429	0.016201514
fathmm-MKL_coding_score	0.0235	0.0107	0.0134	0.0214	0.0205	0.019	0.0185	0.018142857	0.004539037
PROVEAN_score	0.0112	0.0052	0.0068	0.0088	0.0128	0.0114	0.0084	0.009228571	0.002718893
DANN_score	0.0097	0.0093	0.0148	0.0093	0.0088	0.0064	0.0057	0.009142857	0.002939874
GERP++_RS	0.0119	0.005	0.0083	0.007	0.0061	0.0089	0.0101	0.008185714	0.002376572
SiPhy_29way_logOdds	0.0066	0.0036	0.0058	0.0057	0.0064	0.0058	0.0066	0.005785714	0.001039918
integrated_fitCons_score	0.0025	0.0014	0.004	0.0019	0.0016	0.0025	0.0028	0.002385714	0.00087831
bStatistic	0.0003	0.0032	0.0018	0.0015	0.004	0.0012	0.0021	0.002014286	0.001242885
Polyphen2_HDIV_score	0	0	0	0	0	0	0	0	0
Polyphen2_HVAR_score	0	0	0	0	0	0	0	0	0
MutationTaster_score	0	0	0	0	0	0	0	0	0
GenoCanyon_score	0	0	0	0	0	0	0	0	0
phyloP17way_primate	0	0	0	0	0	0	0	0	0
phastCons100way_vertebrate	0	0	0	0	0	0	0	0	0
phastCons470way_mammalian	0	0	0	0	0	0	0	0	0
phastCons17way_primate	0	0	0	0	0	0	0	0	0
SIFT_score	0	0	0	0	0	0	0	0	0
SIFT4G_score	0	0	0	0	0	0	0	0	0
LRT_score	0	0	0	0	0	0	0	0	0
