Tool	2017	2018	2019	2020	2021	2022	2023	mean	stdev
Maverick	0.8314	0.8497	0.8267	0.7755	0.7745	0.8022	0.7969	0.808128571	0.02878476
Maverick_noZygosity	0.7032	0.7327	0.7148	0.6874	0.6648	0.7083	0.6883	0.699928571	0.021992856
BayesDel_addAF_score	0.6373	0.6185	0.5492	0.5982	0.5961	0.6441	0.6265	0.609985714	0.032356577
BayesDel_noAF_score	0.5069	0.5531	0.4399	0.4887	0.4618	0.5148	0.482	0.492457143	0.036993101
MetaRNN_score	0.3748	0.3035	0.393	0.3247	0.3695	0.325	0.3606	0.350157143	0.032618546
AlphaMissense	0.339	0.3161	0.307	0.3478	0.3155	0.3125	0.3163	0.322028571	0.015162642
VEST4_score	0.3955	0.2798	0.3337	0.3004	0.3212	0.3103	0.3122	0.321871429	0.036560439
M-CAP_score	0.339	0.2383	0.2947	0.2466	0.3134	0.2781	0.316	0.289442857	0.037288374
MVP_score	0.3033	0.2307	0.3428	0.2645	0.2927	0.2669	0.3017	0.286085714	0.035828314
CADD_raw	0.278	0.3221	0.2447	0.2948	0.2611	0.3171	0.2814	0.2856	0.028159072
REVEL_score	0.2928	0.1977	0.2969	0.2365	0.2769	0.2524	0.2842	0.262485714	0.035955409
ClinPred_score	0.2949	0.1864	0.2693	0.2424	0.2885	0.2625	0.2864	0.261485714	0.03770771
PrimateAI3D	0.2236	0.2261	0.212	0.2308	0.2267	0.2133	0.2233	0.222257143	0.007021599
DEOGEN2_score	0.228	0.1531	0.2428	0.1909	0.2222	0.2007	0.2377	0.210771429	0.031624659
MutPred_score	0.2382	0.1974	0.2447	0.1868	0.2139	0.1856	0.2004	0.209571429	0.023796969
MetaSVM_score	0.2272	0.1632	0.2332	0.1848	0.2114	0.2035	0.2311	0.207771429	0.026185283
MetaLR_score	0.2378	0.1573	0.2302	0.1807	0.214	0.2044	0.2253	0.2071	0.028980568
Eigen-raw_coding	0.2476	0.1503	0.1754	0.1885	0.2069	0.2227	0.2164	0.201114286	0.032394517
ESM1b	0.1656	0.1527	0.1728	0.1981	0.1746	0.1668	0.1647	0.170757143	0.013973649
gMVP_score	0.1979	0.0873	0.1616	0.119	0.1909	0.1731	0.1791	0.158414286	0.040576858
Eigen-PC-raw_coding	0.1994	0.1034	0.1312	0.14	0.1608	0.1709	0.1657	0.153057143	0.031090934
MAPPIN	0.1321	0.1317	0.1421	0.1078	0.1146	0.1108	0.1393	0.125485714	0.014119659
VARITY_R_score	0.1095	0.0869	0.1587	0.1138	0.1126	0.1033	0.1187	0.114785714	0.021935544
VARITY_R_LOO_score	0.1069	0.088	0.1572	0.1109	0.1115	0.102	0.1165	0.113285714	0.021428908
FATHMM_score	0.1148	0.0655	0.1043	0.085	0.1065	0.0889	0.0947	0.094242857	0.016402831
LIST-S2_score	0.0968	0.0671	0.1097	0.0738	0.0972	0.0891	0.0971	0.090114286	0.014855687
VARITY_ER_score	0.0903	0.0623	0.1089	0.0806	0.0924	0.084	0.0956	0.087728571	0.014433493
VARITY_ER_LOO_score	0.0883	0.0586	0.104	0.0798	0.0916	0.0829	0.0954	0.0858	0.014419547
fathmm-XF_coding_score	0.1113	0.0516	0.1036	0.0705	0.0894	0.0783	0.0905	0.085028571	0.020240036
MAPPIN_noZygosity	0.0834	0.0498	0.0378	0.0319	0.0738	0.0735	0.0858	0.062285714	0.022120159
MutationAssessor_score	0.053	0.0429	0.0714	0.058	0.0592	0.0513	0.0531	0.055557143	0.008766766
MPC_score	0.0843	0.0048	0.0061	0.0054	0.0759	0.0567	0.0568	0.041428571	0.0350798
phyloP100way_vertebrate	0.0549	0.0218	0.0354	0.024	0.0454	0.0453	0.0522	0.039857143	0.013142534
phyloP470way_mammalian	0.0543	0.0254	0.0216	0.0209	0.0368	0.0388	0.0421	0.034271429	0.012297658
PrimateAI_score	0.0476	0.0044	0.0058	0.0063	0.0418	0.0363	0.0386	0.025828571	0.019337073
fathmm-MKL_coding_score	0.0282	0.0132	0.0173	0.0258	0.0249	0.0237	0.0225	0.022228571	0.005221658
PROVEAN_score	0.0171	0.0069	0.009	0.0117	0.0166	0.0156	0.012	0.0127	0.003911521
DANN_score	0.0118	0.0114	0.0183	0.0114	0.0111	0.0082	0.0075	0.011385714	0.003495439
GERP++_RS	0.014	0.0066	0.0107	0.0088	0.008	0.0109	0.0123	0.010185714	0.002560878
SiPhy_29way_logOdds	0.0112	0.0058	0.0091	0.0091	0.0103	0.0099	0.0105	0.009414286	0.001762979
integrated_fitCons_score	0.003	0.0016	0.0044	0.0022	0.0021	0.0029	0.0032	0.002771429	0.000917813
bStatistic	0.0004	0.0044	0.0029	0.0021	0.0048	0.0016	0.0029	0.002728571	0.001540254
Polyphen2_HVAR_score	0.0003	0.0005	0.0007	0.0006	0.0006	0.0005	0.0005	0.000528571	0.000125357
Polyphen2_HDIV_score	0	0	0	0	0	0	0	0	0
MutationTaster_score	0	0	0	0	0	0	0	0	0
GenoCanyon_score	0	0	0	0	0	0	0	0	0
phyloP17way_primate	0	0	0	0	0	0	0	0	0
phastCons100way_vertebrate	0	0	0	0	0	0	0	0	0
phastCons470way_mammalian	0	0	0	0	0	0	0	0	0
phastCons17way_primate	0	0	0	0	0	0	0	0	0
SIFT_score	0	0	0	0	0	0	0	0	0
SIFT4G_score	0	0	0	0	0	0	0	0	0
LRT_score	0	0	0	0	0	0	0	0	0
EVE	0	0	0	0	0	0	0	0	0
